,trial,t,t_last_visible,d_last_visible,abs_angle_last_visible,hit_boundary,num_stops,num_stops_near_target,n_ff_in_a_row
141,142,1.25,0.5,384.6523197191916,0.41102415730828457,False,0,0,1
142,143,7.25,1.5,387.62036077989904,0.5542512060826658,False,2,1,1
143,144,1.25,1.5,293.0726217674677,0.3324545471730158,False,0,0,1
144,145,0.5,1.0,85.26777708967863,0.0,False,0,0,1
145,146,1.25,20.5,289.0484281507665,0.5919562161871463,False,0,0,2
146,147,0.5,1.5,316.164237744011,0.4673955718811024,False,0,0,1
147,148,1.25,1.75,342.07721059996413,0.5257111421027878,False,0,0,2
148,149,1.5,1.5,275.3265551861535,0.4221744112562871,False,3,3,1
149,150,1.25,1.75,265.89674210507366,0.5225603695466281,False,0,0,1
150,151,1.25,1.0,73.12694282897944,0.2391334437242129,False,0,0,1
151,152,1.25,0.5,399.05675606333455,0.5255111975200277,False,0,0,1
152,153,2.5,1.5,101.721491696157,0.2661487653703326,False,4,3,1
153,154,1.25,1.5,297.4000478298531,0.3878632891681223,False,0,0,1
154,155,3.25,1.5,399.1521568079863,0.4528266385526109,False,2,2,1
155,156,4.5,1.0,338.4630064669937,0.5466326865436794,False,3,2,1
156,157,2.0,1.75,376.5015895753747,0.5066081125830159,False,2,2,1
157,158,3.0,1.5,130.8702235484737,0.47900434306018813,False,3,3,1
158,159,3.25,1.75,361.0359048190004,0.36609411075302495,False,2,2,1
159,160,1.25,1.5,368.5608812288467,0.4893679571223794,False,0,0,1
160,161,2.5,1.5,373.71292357608826,0.5149007304606587,False,2,2,1
161,162,0.5,1.5,115.73845005616455,0.0,False,0,0,1
162,163,1.25,1.0,106.3349556286675,0.0,False,0,0,2
163,164,2.5,1.0,325.50650016094147,0.12526589485655354,False,1,1,1
164,165,0.75,1.25,328.08534573918564,0.1229981843866279,False,0,0,1
165,166,0.75,23.75,286.7495302979909,0.5822398986073363,False,0,0,1
166,167,0.5,1.5,167.99049773379843,0.5250487216034356,False,0,0,1
167,168,0.0,1.5,257.9752815756761,0.0,False,0,0,2
168,169,1.5,2.25,235.31706255636368,0.160155786709207,False,1,1,3
169,170,1.0,1.5,390.87128401528156,0.38609236032224875,False,0,0,1
170,171,0.5,2.5,333.9487195025291,0.45467132609834493,False,0,0,1
171,172,1.0,1.5,325.10117732765764,0.18631294636033893,False,0,0,2
172,173,2.5,2.0,379.6717424540628,0.1325445987804211,False,2,2,1
173,174,2.5,1.25,212.88429594760254,0.290404817745325,False,1,1,1
174,175,1.25,1.75,249.75123658342804,0.43598394720504974,False,0,0,1
175,176,2.75,1.5,169.65895680511724,0.0,False,2,2,1
176,177,5.25,1.25,383.3080220025258,0.6138204053156603,False,1,1,1
177,178,1.0,2.25,391.9780437741812,0.6192564348423755,False,0,0,1
178,179,0.0,1.5,386.4695280944064,0.47126127258609646,False,0,0,1
179,180,1.0,1.0,343.38049954926385,0.3257303491991339,False,0,0,2
180,181,1.5,1.75,280.79692459167865,0.3850340715777859,False,2,2,1
181,182,2.25,1.5,166.73394667005311,0.0,False,2,2,1
182,183,1.75,0.5,164.60923602501342,0.19102746113084912,False,2,2,1
183,184,5.5,1.5,108.93383935404857,0.0,False,3,2,1
184,185,6.25,1.5,333.4443463983534,0.5910940662227644,False,2,1,1
185,186,4.5,1.5,311.0731641463554,0.5332063673747311,False,3,3,1
186,187,4.25,1.5,385.61649844774945,0.3413334659373096,False,2,2,1
187,188,4.25,1.5,360.214111573635,0.27255770140330143,False,1,1,1
188,189,1.25,1.0,373.5768687137663,0.5583398629240082,False,0,0,1
189,190,0.5,2.0,395.0950205398493,0.4937311670959562,False,0,0,1
190,191,0.5,2.75,308.9537898018983,0.4501791342690311,False,0,0,2
191,192,0.0,1.5,388.6607301618029,0.5885981656221644,False,0,0,3
192,193,1.0,0.5,25.38164612534835,0.0,False,0,0,4
193,194,1.5,1.0,379.3536519494413,0.5568711874430221,False,2,2,1
194,195,1.75,1.5,385.50785720138714,0.5062634994532154,False,2,2,1
195,196,1.0,0.5,17.61844448502671,0.0,False,0,0,1
196,197,1.5,1.25,375.776233981589,0.4962180690141482,False,2,2,1
197,198,4.0,1.5,138.8856118276386,0.0,False,1,1,1
198,199,0.5,1.0,335.31172777500103,0.003926407094484274,False,0,0,1
199,200,1.75,1.5,102.75094617620316,0.0,False,3,3,2
200,201,1.75,1.5,244.48556456462623,0.21097755374968039,False,3,3,1
201,202,0.0,2.0,396.67199879397606,0.5856215114743389,False,0,0,1
202,203,1.5,1.75,376.96204151225163,0.4824883873583032,False,2,2,2
203,204,1.75,75.25,379.20551114991736,0.628101668876072,False,2,2,1
204,205,2.5,1.0,114.27668140102604,0.37986752489612763,False,2,2,1
205,206,1.75,1.5,396.72177676815846,0.3969181977552713,False,1,1,1
206,207,0.5,1.0,339.0560715992249,0.5116194341452303,False,0,0,1
207,208,4.25,1.75,386.2123838478974,0.4237622671490875,False,2,2,2
208,209,3.5,19.25,254.773937168411,0.45349024842488095,False,1,1,1
209,210,0.5,1.5,156.51748252409277,0.0,False,0,0,1
210,211,0.0,20.0,213.0546333772359,0.3657972618810687,False,0,0,2
211,212,7.25,0.5,324.23812919543025,0.5349065196663862,False,2,1,3
212,213,0.0,0.5,380.47930346126236,0.5349065196663862,False,0,0,1
213,214,2.75,2.0,239.75285386121436,0.0382416003856179,False,3,2,2
214,215,1.5,1.0,332.0251885246605,0.3393105943377046,False,1,1,1
215,216,1.0,1.5,345.6385577698842,0.4237622671490875,False,0,0,1
